component_01,component_02,roiName
0.0326523430038282,0.0323721926938661,Parcel_110
0.0292267589498709,0.0297966861864534,Parcel_111
0.0515465956174263,0.0482707281170546,Parcel_112
0.0516791807754349,0.0526323651454208,Parcel_113
0.0721613106135153,0.0774266713242104,Parcel_114
0.030670218814815,0.0325207839221175,Parcel_115
0.0800538861879653,0.0817143055845769,Parcel_116
0.0841678383698446,0.0811773903856231,Parcel_117
0.0963220167231866,0.0996524982446008,Parcel_118
0.0490631226992555,0.0456826933894235,Parcel_119
0.0770212396372269,0.0751686593436841,Parcel_120
0.0316343000822968,0.0338760984626639,Parcel_121
0.0443353875096341,0.0487643787721687,Parcel_122
0.0531376114090254,0.0496784558593705,Parcel_123
0.0802073950780105,0.0753708557639358,Parcel_124
0.0527671775697458,0.0430120633582885,Parcel_125
0.0969420220920148,0.0844187224922992,Parcel_126
0.0306511758943224,0.0306567760780275,Parcel_127
0.0597825121899767,0.0625147053541087,Parcel_128
0.0414193791600354,0.0457008175290213,Parcel_129
0.0498857362998053,0.057290283389714,Parcel_130
0.0388176576397436,0.0436486625791463,Parcel_131
0.0470978006287165,0.0496554608260573,Parcel_132
0.0513472544954766,0.0475749558966761,Parcel_133
0.0609477678485563,0.0567508040334108,Parcel_134
0.0533083073023835,0.0517363815406839,Parcel_135
0.0425852369826094,0.0391457321601881,Parcel_136
0.047076087916777,0.0466493291586826,Parcel_137
0.0651905305334178,0.0665599860855821,Parcel_138
0.0448123130153874,0.0445586493898862,Parcel_139
0.056904472678272,0.0564704342583447,Parcel_140
0.049853824246001,0.0513259952203385,Parcel_141
0.0533271554793926,0.053001830750903,Parcel_142
0.039411297844503,0.0418967086607195,Parcel_143
0.0486041351185569,0.0537580965837148,Parcel_144
0.062552716678122,0.0544566354163655,Parcel_145
0.0501611953280236,0.0458793638150186,Parcel_146
0.0505450638307082,0.0447833339755281,Parcel_147
0.060352307430481,0.0517844686268281,Parcel_148
0.0485956989908254,0.0448753735566973,Parcel_149
0.073575389987216,0.0660616913936044,Parcel_150
0.0409245848262256,0.0418015586588884,Parcel_151
0.0514573084901497,0.0516823384601586,Parcel_152
0.0356616102718724,0.0351965660360008,Parcel_153
0.0518902294790555,0.0496057007316359,Parcel_154
0.047874716700358,0.0457212377846452,Parcel_155
0.0643627008311081,0.0592394900865753,Parcel_156
0.0714197401782334,0.064701108225741,Parcel_157
0.0570903519539912,0.0525052166600083,Parcel_158
0.0629605497910446,0.061138674790992,Parcel_159
0.0632279267230472,0.0598369496489535,Parcel_160
0.070004820562608,0.0615383292626107,Parcel_161
0.0694996680505006,0.0645255689787118,Parcel_162
0.0561833379974107,0.0516199138078511,Parcel_163
0.0507418879358232,0.0500329922731576,Parcel_164
0.0694830340200027,0.0621471529217687,Parcel_165
0.071494985015219,0.0650157335707854,Parcel_166
0.059046542108223,0.0585917560566721,Parcel_167
0.0649858124979699,0.0619491100766805,Parcel_168
0.058951518896407,0.0550149114958125,Parcel_169
0.0625016638679599,0.0593100132386005,Parcel_170
0.0553167860607332,0.054598197110811,Parcel_171
0.0568391461831591,0.0545792839142749,Parcel_172
0.0596622853447565,0.0611227366125396,Parcel_173
0.0505004728184642,0.0506360702837902,Parcel_174
0.0182902312753038,0.0194349173011692,Parcel_175
0.0312179722578981,0.0358688516542542,Parcel_176
0.0314021460666367,0.0309038823594129,Parcel_177
0.0513786174609196,0.0486629632832751,Parcel_178
