component_01,component_02,component_03,component_04,component_05,component_06,roiName
0.0562595852473098,0.0569757946632243,0.0550468166102963,0.0520234846289903,0.0578304123457646,0.0522447982110036,Parcel_169
0.0591188359951887,0.059945217535399,0.0593211313966853,0.0539267727380465,0.0638415641368895,0.054141499903598,Parcel_170
0.0528530860424349,0.052649774337761,0.0530087983865002,0.0491763987051339,0.0541643279569538,0.0512333528195011,Parcel_171
0.0539910650613855,0.0544202789238463,0.0535735236290913,0.0495875699363276,0.0570702843384452,0.050308837819102,Parcel_172
0.057058264346773,0.0566015804607079,0.0597833129528674,0.0532949144063341,0.060172682125096,0.0577262202518377,Parcel_173
0.0473222958474552,0.0480305901134543,0.0495528039115564,0.0427984229972557,0.05538024760956,0.0480698412272772,Parcel_174
0.0184532186311065,0.0191823597749843,0.0175178268420888,0.0220844847044007,0.0183957802027919,0.0230371206930699,Parcel_175
0.0337824561949143,0.0333619776237467,0.0331329630366345,0.0384644407783664,0.0351608069346398,0.041858444324528,Parcel_176
0.0298146638194522,0.0299060842377439,0.030861145364438,0.0274592284820232,0.0343198127855297,0.0283781094957126,Parcel_177
0.0472193604190146,0.0476653557371756,0.0478928046534357,0.0434717590658567,0.0512907409440963,0.042918947396941,Parcel_178
0.0165720823506216,0.0168850403419903,0.0165924004036762,0.0170614486074408,0.0180903494355823,0.0177395019401671,Parcel_179
0.0185076711231476,0.0186761338579177,0.0190571213017939,0.0178522782452285,0.0216207988586496,0.0188363921663024,Parcel_180
0.0311479580695996,0.0298319626369142,0.0307840371699835,0.0291780978898015,0.0354251733312669,0.0289907355710968,Parcel_181
0.0280492056611041,0.0287407771646135,0.0261185389222796,0.0290472738072894,0.0300741046609468,0.0287239903712369,Parcel_182
0.0259461221624691,0.0254624709766873,0.0257329052560789,0.0261020049939775,0.0289550997356021,0.0264069662143143,Parcel_183
0.0222260009177597,0.0234950563304434,0.0169232148239396,0.0293629728721896,0.0203524581578365,0.0237968108268043,Parcel_184
0.00902537412661071,0.00868855319830845,0.00916810105054096,0.00836097185139939,0.0108612209771318,0.0088885334593987,Parcel_185
0.00549335688783367,0.00589608529982954,0.00430882303235793,0.00886408286196522,0.00459700675521798,0.00773558412438449,Parcel_186
0.0403346762911876,0.0404548235160531,0.0404164088253849,0.0393374061550797,0.0450936734170182,0.040501324324246,Parcel_187
0.0460030400959879,0.0485250876885461,0.0430041545939316,0.0432999929157927,0.0526018260936455,0.0445336241310867,Parcel_188
0.0570812240644632,0.0567839748925112,0.0559825935007766,0.0543304143473571,0.0541434255820547,0.0520346078280365,Parcel_189
0.0203942734661614,0.0207195862735762,0.0197071914047623,0.0192301430686046,0.0196394243196848,0.0192873517977546,Parcel_190
0.044114124956668,0.0450596480945991,0.0425237255003108,0.0449030871126879,0.040708620022146,0.0429649244452046,Parcel_191
0.035238380075682,0.03667394821487,0.0332875278822066,0.0352086032598929,0.0341248099568055,0.0333861026169178,Parcel_192
0.0393523509878574,0.0413248134560955,0.0388292036574811,0.038072224140431,0.0383130302933076,0.0385954063510445,Parcel_193
